province,region,id
서울특별시,강남구,381
서울특별시,송파구,404
서울특별시,강북/노원/도봉,4175
서울특별시,성북구·종로구,12411
서울특별시,강서구,257
서울특별시,서초구,362
서울특별시,관악구,340
서울특별시,노원구,169
서울특별시,마포구,221
서울특별시,강동구,432
서울특별시,영등포구,305
서울특별시,은평구,189
서울특별시,양천구,238
서울특별시,성북구,119
서울특별시,구로구,278
서울특별시,구로구/금천구,4174
서울특별시,동작구,324
서울특별시,광진구,71
서울특별시,동대문구,87
서울특별시,중랑구,102
서울특별시,서대문구,206
서울특별시,성동구,53
서울특별시,중구/성동구,4172
서울특별시,용산구,36
서울특별시,도봉구,154
서울특별시,강북구,140
서울특별시,금천구,294
서울특별시,종로구,2
서울특별시,중구,20
서울특별시,갈월종합사회복지관,12344
부산광역시,동래구·연제구,12377
부산광역시,해운대구,570
부산광역시,부산진구,502
부산광역시,사하구,589
부산광역시,동래구,524
부산광역시,남구,538
부산광역시,북구,556
부산광역시,연제구,632
부산광역시,금정구,606
부산광역시,사상구,656
부산광역시,수영구,645
부산광역시,기장군,669
부산광역시,강서구,624
부산광역시,서구,462
부산광역시,동구,476
부산광역시,영도구,490
부산광역시,중구,452
대구광역시,달서구,790
대구광역시,수성구,766
대구광역시,북구,742
대구광역시,동구,689
대구광역시,달성군,813
대구광역시,서구,710
대구광역시,남구,728
대구광역시,중구,676
대구광역시,군위군,3326
인천광역시,서구,946
인천광역시,남동구,890
인천광역시,부평구,910
인천광역시,연수구,876
인천광역시,부평구/계양구,4173
인천광역시,미추홀구,854
인천광역시,인천 남구/중구/동구,4176
인천광역시,계양구,933
인천광역시,중구,826
인천광역시,동구,842
인천광역시,강화군/옹진군,4177
인천광역시,강화군,968
인천광역시,옹진군,983
광주광역시,광산구,1072
광주광역시,북구,1044
광주광역시,서구,1008
광주광역시,남구,1027
광주광역시,동구,994
대전광역시,서구,1130
대전광역시,유성구,1154
대전광역시,동구,1095
대전광역시,중구,1112
대전광역시,대덕구,1166
울산광역시,남구,1194
울산광역시,북구,1219
울산광역시,중구,1180
울산광역시,울주군,1228
울산광역시,동구,1209
경기도,화성시,1765
경기도,기흥구/처인구/수지구,12688
경기도,성남시,12378
경기도,수원시,4179
경기도,안산시,12791
경기도,평택시,1466
경기도,남양주시,1587
경기도,고양시,4180
경기도,부천시,4203
경기도,성남시 분당구,1334
경기도,시흥시,1613
경기도,김포시,1751
경기도,파주시,1698
경기도,의정부시,1357
경기도,고양시 덕양구,1529
경기도,부천시 원미구,1408
경기도,용인시 기흥구,1676
경기도,수원시 영통구,1293
경기도,안산시 단원구,1515
경기도,수원시 권선구,1270
경기도,평택소방서,12478
경기도,용인시 수지구,1688
경기도,광주시,1791
경기도,안산시 상록구,1501
경기도,안양시 동안구,1389
경기도,분당,4167
경기도,고양시 일산동구,1549
경기도,하남시,1650
경기도,죽전/수지,4169
경기도,고양시 일산서구,1561
경기도,수정구/중원구,4168
경기도,오산시,1606
경기도,수원시 장안구,1259
경기도,양주시,1802
경기도,용인시 처인구,1664
경기도,광명시,1447
경기도,수원시 팔달구,1282
경기도,군포시,1631
경기도,성남시 수정구,1305
경기도,이천시,1720
경기도,운정/파주,4171
경기도,부천시 소사구,1429
경기도,안양시 만안구,1374
경기도,안성시,1735
경기도,구리시,1578
경기도,성남시 중원구,1322
경기도,가평군/양평군/연천군,4178
경기도,부천시 오정구,1439
경기도,의왕시,1643
경기도,판교,4166
경기도,포천시,1814
경기도,동탄신도시,4170
경기도,여주시,1829
경기도,양평군,1860
경기도,동두천시,1491
경기도,과천시,1571
경기도,가평군,1853
경기도,연천군,1842
경기도,테크노밸리,4165
충청북도,청주시 흥덕구,2120
충청북도,청주시 청원구,2132
충청북도,충주시,2141
충청북도,청주시 서원구,2108
충청북도,청주시 상당구,2094
충청북도,제천시,2167
충청북도,음성군,2242
충청북도,진천군,2222
충청북도,증평군,2219
충청북도,옥천군,2197
충청북도,영동군,2207
충청북도,괴산군,2230
충청북도,보은군,2185
충청북도,단양군,2252
충청남도,천안시 서북구,2281
충청남도,아산시,2331
충청남도,천안시 동남구,2263
충청남도,당진시,2386
충청남도,서산시,2349
충청남도,논산시·계룡시,12212
충청남도,논산시,2365
충청남도,홍성군,2454
충청남도,보령시,2312
충청남도,공주시,2295
충청남도,예산군,2466
충청남도,계룡시,2381
충청남도,태안군,2479
충청남도,부여군,2412
충청남도,금산군,2401
충청남도,서천군,2429
충청남도,청양군,2443
전라북도,전주시 완산구,2490
전라북도,전주시 덕진구,2509
